ward_id,date,water_liters_day,sewage_liters_day
W01,2018-01-01,3255853,2565594
W01,2018-02-01,3396312,2671273
W01,2018-03-01,3402369,2735901
W01,2018-04-01,3710312,2951821
W01,2018-05-01,3737463,2938490
W01,2018-06-01,3978629,3217669
W01,2018-07-01,4105222,3330855
W01,2018-08-01,4027150,3206272
W01,2018-09-01,3797121,3078294
W01,2018-10-01,3553041,2825977
W01,2018-11-01,3480297,2806714
W01,2018-12-01,3348862,2633160
W01,2019-01-01,3372487,2701674
W01,2019-02-01,3343208,2670529
W01,2019-03-01,3482506,2833411
W01,2019-04-01,3759069,2973527
W01,2019-05-01,3861810,3122605
W01,2019-06-01,3931400,3185604
W01,2019-07-01,4163651,3317752
W01,2019-08-01,3933884,3199115
W01,2019-09-01,3918691,3162279
W01,2019-10-01,3653012,2922320
W01,2019-11-01,3612753,2906717
W01,2019-12-01,3322442,2619640
W01,2020-01-01,3479433,2787886
W01,2020-02-01,3531650,2817232
W01,2020-03-01,3637671,2894072
W01,2020-04-01,3923721,3093566
W01,2020-05-01,3998976,3231913
W01,2020-06-01,4229687,3336762
W01,2020-07-01,4105533,3308137
W01,2020-08-01,4163938,3315796
W01,2020-09-01,4023549,3214726
W01,2020-10-01,3753204,3008956
W01,2020-11-01,3715613,2993926
W01,2020-12-01,3399590,2761532
W01,2021-01-01,3567660,2884793
W01,2021-02-01,3532868,2802949
W01,2021-03-01,3633923,2849373
W01,2021-04-01,3957322,3193677
W01,2021-05-01,4216646,3408664
W01,2021-06-01,4245445,3342885
W01,2021-07-01,4328106,3509806
W01,2021-08-01,4245440,3355448
W01,2021-09-01,4069525,3211545
W01,2021-10-01,4011545,3263463
W01,2021-11-01,3803175,3054582
W01,2021-12-01,3564636,2807435
W01,2022-01-01,3573005,2913894
W01,2022-02-01,3723550,2947795
W01,2022-03-01,3743644,3002984
W01,2022-04-01,3901742,3150349
W01,2022-05-01,4282756,3491711
W01,2022-06-01,4358112,3434298
W01,2022-07-01,4445410,3619894
W01,2022-08-01,4262183,3413521
W01,2022-09-01,4229941,3446808
W01,2022-10-01,4105928,3318282
W01,2022-11-01,3846090,3103080
W01,2022-12-01,3634093,2927240
W01,2023-01-01,3664643,2978577
W01,2023-02-01,3736749,2959255
W01,2023-03-01,3795876,2978522
W01,2023-04-01,4116261,3304658
W01,2023-05-01,4180751,3372407
W01,2023-06-01,4340315,3412168
W01,2023-07-01,4386394,3485313
W01,2023-08-01,4462103,3538052
W01,2023-09-01,4304366,3448897
W01,2023-10-01,4157972,3377255
W01,2023-11-01,3915661,3100326
W01,2023-12-01,3741581,2982137
W01,2024-01-01,3692877,2973089
W01,2024-02-01,3807768,3035382
W01,2024-03-01,4082501,3207758
W01,2024-04-01,4244284,3415281
W01,2024-05-01,4299424,3470937
W01,2024-06-01,4652192,3663586
W01,2024-07-01,4540513,3637683
W01,2024-08-01,4471117,3531608
W01,2024-09-01,4405938,3577549
W01,2024-10-01,4098417,3319130
W01,2024-11-01,4080615,3211987
W01,2024-12-01,3876416,3106167
W02,2018-01-01,3460779,2796704
W02,2018-02-01,3543211,2823958
W02,2018-03-01,3740236,3035833
W02,2018-04-01,4036673,3186018
W02,2018-05-01,4014952,3197883
W02,2018-06-01,4392446,3554034
W02,2018-07-01,4279784,3450751
W02,2018-08-01,4342076,3513033
W02,2018-09-01,4178769,3341233
W02,2018-10-01,3868163,3059587
W02,2018-11-01,3645231,2943683
W02,2018-12-01,3505318,2783347
W02,2019-01-01,3537891,2827685
W02,2019-02-01,3783016,3030181
W02,2019-03-01,3735992,2989730
W02,2019-04-01,4125203,3243204
W02,2019-05-01,4132075,3353502
W02,2019-06-01,4364569,3553331
W02,2019-07-01,4462619,3581365
W02,2019-08-01,4268685,3357848
W02,2019-09-01,4282094,3434613
W02,2019-10-01,3995525,3165832
W02,2019-11-01,3877120,3078642
W02,2019-12-01,3638264,2867637
W02,2020-01-01,3759470,3002430
W02,2020-02-01,3879777,3157919
W02,2020-03-01,3818165,3069335
W02,2020-04-01,4156689,3272143
W02,2020-05-01,4357908,3487147
W02,2020-06-01,4400433,3499085
W02,2020-07-01,4437289,3513521
W02,2020-08-01,4441613,3544505
W02,2020-09-01,4359365,3459943
W02,2020-10-01,4261257,3450882
W02,2020-11-01,3940817,3173822
W02,2020-12-01,3794805,3088274
W02,2021-01-01,3729247,3028522
W02,2021-02-01,3822184,3105413
W02,2021-03-01,4090986,3227683
W02,2021-04-01,4188983,3312397
W02,2021-05-01,4414777,3558310
W02,2021-06-01,4709815,3768667
W02,2021-07-01,4599299,3739511
W02,2021-08-01,4487847,3609562
W02,2021-09-01,4544862,3569584
W02,2021-10-01,4202175,3312096
W02,2021-11-01,4148418,3273810
W02,2021-12-01,3863444,3116182
W02,2022-01-01,3929919,3095126
W02,2022-02-01,4080013,3288950
W02,2022-03-01,4046113,3176818
W02,2022-04-01,4316538,3460486
W02,2022-05-01,4548967,3572479
W02,2022-06-01,4689066,3816238
W02,2022-07-01,4921334,3864609
W02,2022-08-01,4687126,3777008
W02,2022-09-01,4613967,3669570
W02,2022-10-01,4366310,3545403
W02,2022-11-01,4250650,3434454
W02,2022-12-01,4075415,3225999
W02,2023-01-01,3932227,3183517
W02,2023-02-01,3994319,3184245
W02,2023-03-01,4154970,3380415
W02,2023-04-01,4535002,3615189
W02,2023-05-01,4730152,3819701
W02,2023-06-01,4772427,3765895
W02,2023-07-01,4964630,3953044
W02,2023-08-01,4711533,3764808
W02,2023-09-01,4598013,3739980
W02,2023-10-01,4419218,3580703
W02,2023-11-01,4330859,3426287
W02,2023-12-01,4112357,3276524
W02,2024-01-01,4059190,3191423
W02,2024-02-01,4243546,3374624
W02,2024-03-01,4344835,3500827
W02,2024-04-01,4665182,3706939
W02,2024-05-01,4663441,3787018
W02,2024-06-01,4895626,3929126
W02,2024-07-01,5173902,4062673
W02,2024-08-01,4995564,3971783
W02,2024-09-01,4881960,3895631
W02,2024-10-01,4703735,3705136
W02,2024-11-01,4446473,3513080
W02,2024-12-01,4060943,3240445
W03,2018-01-01,2257861,1819789
W03,2018-02-01,2309529,1865141
W03,2018-03-01,2297718,1833123
W03,2018-04-01,2529776,2057884
W03,2018-05-01,2605715,2098196
W03,2018-06-01,2616482,2126680
W03,2018-07-01,2710931,2183223
W03,2018-08-01,2648853,2135799
W03,2018-09-01,2595046,2050447
W03,2018-10-01,2487808,1980625
W03,2018-11-01,2375100,1875305
W03,2018-12-01,2259420,1800745
W03,2019-01-01,2318018,1839866
W03,2019-02-01,2266238,1833713
W03,2019-03-01,2414116,1917562
W03,2019-04-01,2516196,2027098
W03,2019-05-01,2653044,2147373
W03,2019-06-01,2819387,2276798
W03,2019-07-01,2803990,2223792
W03,2019-08-01,2770662,2227104
W03,2019-09-01,2586584,2106680
W03,2019-10-01,2484848,1972804
W03,2019-11-01,2442887,1926743
W03,2019-12-01,2243548,1829582
W03,2020-01-01,2344879,1896049
W03,2020-02-01,2357678,1915275
W03,2020-03-01,2469897,1993175
W03,2020-04-01,2570124,2047847
W03,2020-05-01,2660084,2144038
W03,2020-06-01,2878537,2336031
W03,2020-07-01,2912799,2356191
W03,2020-08-01,2764839,2238777
W03,2020-09-01,2749492,2196475
W03,2020-10-01,2597056,2112339
W03,2020-11-01,2402875,1894107
W03,2020-12-01,2358987,1889539
W03,2021-01-01,2396002,1902793
W03,2021-02-01,2460211,1963648
W03,2021-03-01,2567835,2086481
W03,2021-04-01,2641184,2147334
W03,2021-05-01,2776448,2190875
W03,2021-06-01,2945110,2351383
W03,2021-07-01,2962212,2401986
W03,2021-08-01,2844073,2300529
W03,2021-09-01,2782913,2203109
W03,2021-10-01,2643274,2132682
W03,2021-11-01,2480055,1971016
W03,2021-12-01,2480242,1950905
W03,2022-01-01,2395979,1907815
W03,2022-02-01,2431940,1923291
W03,2022-03-01,2570013,2042102
W03,2022-04-01,2713606,2132874
W03,2022-05-01,2912151,2319421
W03,2022-06-01,3002482,2444843
W03,2022-07-01,2904855,2359268
W03,2022-08-01,2968071,2372270
W03,2022-09-01,2930969,2325887
W03,2022-10-01,2701217,2194827
W03,2022-11-01,2635243,2111417
W03,2022-12-01,2518645,2039084
W03,2023-01-01,2568303,2053675
W03,2023-02-01,2511088,2007717
W03,2023-03-01,2630131,2118318
W03,2023-04-01,2837003,2289954
W03,2023-05-01,2986292,2429125
W03,2023-06-01,3115871,2496099
W03,2023-07-01,3140715,2521807
W03,2023-08-01,3058138,2405795
W03,2023-09-01,2913967,2365382
W03,2023-10-01,2733921,2166154
W03,2023-11-01,2620360,2092489
W03,2023-12-01,2520950,2047386
W03,2024-01-01,2536933,2066176
W03,2024-02-01,2597135,2105542
W03,2024-03-01,2709147,2188906
W03,2024-04-01,2780047,2264241
W03,2024-05-01,2950030,2319301
W03,2024-06-01,3189403,2504601
W03,2024-07-01,3054082,2418567
W03,2024-08-01,3167415,2546230
W03,2024-09-01,2952608,2359588
