ward_id,ndvi,ndbi,mndwi
74,0.2724,0.2612,-0.1863
67,0.3236,0.201,-0.2318
73,0.294,0.3817,-0.2295
70,0.2778,0.3961,-0.2186
69,0.2115,0.2238,-0.217
72,0.3464,0.3786,-0.2242
63,0.3188,0.2603,-0.1852
71,0.3398,0.3799,-0.1996
68,0.2098,0.282,-0.2491
62,0.2229,0.375,-0.2477
66,0.2818,0.3328,-0.2342
65,0.2449,0.208,-0.1164
64,0.3468,0.2132,-0.1164
57,0.2781,0.3633,-0.1555
61,0.2789,0.2045,-0.2185
56,0.2726,0.3692,-0.2124
58,0.2286,0.3875,-0.1037
55,0.3304,0.2791,-0.1602
39,0.2403,0.2748,-0.2233
37,0.2204,0.2099,-0.1742
40,0.244,0.3304,-0.1555
38,0.2042,0.4054,-0.108
35,0.2824,0.2853,-0.1955
59,0.2147,0.2609,-0.213
36,0.2095,0.4127,-0.1064
60,0.2817,0.3609,-0.1989
34,0.1956,0.302,-0.1737
41,0.195,0.3162,-0.1012
13,0.2472,0.2738,-0.1292
54,0.3082,0.2689,-0.1549
27,0.2719,0.2653,-0.2334
29,0.2331,0.3005,-0.1512
53,0.2232,0.341,-0.22
33,0.2918,0.3712,-0.1331
28,0.2838,0.268,-0.1453
14,0.3261,0.3376,-0.1026
52,0.346,0.2367,-0.2465
10,0.3773,0.2108,0.0407
50,0.2159,0.2793,-0.1676
30,0.2262,0.3013,-0.1456
26,0.2651,0.3575,-0.1711
47,0.1802,0.2868,-0.1762
11,0.2485,0.2779,-0.1749
12,0.1245,0.4345,-0.309
16,0.3404,0.2058,-0.244
25,0.2281,0.3281,-0.1014
15,0.5187,0.2192,-0.128
51,0.293,0.3153,-0.224
32,0.3403,0.2532,-0.1002
24,0.2791,0.2403,-0.192
48,0.2122,0.2904,-0.1608
17,0.3018,0.3071,-0.2036
31,0.2782,0.2972,-0.196
45,0.2346,0.2458,-0.1823
46,0.2636,0.3978,-0.1406
23,0.3109,0.2826,-0.1984
20,0.4614,0.1853,-0.1273
22,0.2026,0.3003,-0.226
9,0.3435,0.3843,-0.172
18,0.1018,0.4416,-0.2031
75,0.3002,0.3892,-0.1919
21,0.2226,0.2659,-0.1215
6,0.2604,0.3459,-0.1291
8,0.223,0.2175,-0.1401
1,0.5134,0.2145,-0.0519
2,0.2875,0.3613,-0.1146
42,0.2076,0.2893,-0.1874
19,0.2983,0.2935,-0.1213
3,0.1647,0.4312,-0.3047
4,0.3465,0.2078,-0.1761
49,0.3419,0.3783,-0.2059
5,0.4514,0.1517,-0.0315
76,0.3319,0.3219,-0.1761
43,0.2343,0.2579,-0.1687
77,0.194,0.3398,-0.1305
44,0.3423,0.3506,-0.1768
7,0.1285,0.5747,-0.3183
